RefDes,Category,Manufacturer,MPN,Package,Value,Population,Temperature_C,Logical_Net,Pin_Map,Electrical_Path,Disposition,Authority,Notes
C1,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U1 VDD pin 11 local bypass,LOCKED_FITTED,ST_AN5373_Rev7,Place at U1 pin 11
R19,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,FITTED,-55..155,MIC_WAKE1,1=MIC_WAKE1;2=GND,MIC1 WAKE inactive-state pull-down,LOCKED_FITTED,TDK_T5838_DS-000383_Rev1.2,No connector means inactive LOW
R20,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,FITTED,-55..155,MIC_WAKE2,1=MIC_WAKE2;2=GND,MIC2 WAKE inactive-state pull-down,LOCKED_FITTED,TDK_T5838_DS-000383_Rev1.2,No connector means inactive LOW
R21,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,FITTED,-55..155,MIC_WAKE3,1=MIC_WAKE3;2=GND,MIC3 WAKE inactive-state pull-down,LOCKED_FITTED,TDK_T5838_DS-000383_Rev1.2,No connector means inactive LOW
R22,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,FITTED,-55..155,MIC_WAKE4,1=MIC_WAKE4;2=GND,MIC4 WAKE inactive-state pull-down,LOCKED_FITTED,TDK_T5838_DS-000383_Rev1.2,No connector means inactive LOW
R23,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,FITTED,-55..155,MIC_WAKE,1=MIC_WAKE;2=GND,U18 MCU-side inactive-state pull-down,LOCKED_FITTED,TI_SCES882E_RevE,Keeps PA8 low during partial power
R24,Resistor,Panasonic,ERJ-2RKF4701X,0402,4.7 kOhm 1%,FITTED,-55..155,CELL_PWRKEY_CMD,1=CELL_PWRKEY_CMD;2=Q1_BASE,Q1 base current limiter,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,Q1 pin 1 endpoint
R25,Resistor,Panasonic,ERJ-2RKF4702X,0402,47 kOhm 1%,FITTED,-55..155,Q1_BASE,1=Q1_BASE;2=GND_MODEM,Q1 base-emitter off-state pull,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,Prevents unintended PWRKEY assertion
R26,Resistor,Panasonic,ERJ-2RKF4701X,0402,4.7 kOhm 1%,FITTED,-55..155,CELL_RESET_CMD,1=CELL_RESET_CMD;2=Q2_BASE,Q2 base current limiter,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,Q2 pin 1 endpoint
R27,Resistor,Panasonic,ERJ-2RKF4702X,0402,47 kOhm 1%,FITTED,-55..155,Q2_BASE,1=Q2_BASE;2=GND_MODEM,Q2 base-emitter off-state pull,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,Prevents unintended RESET_N assertion
R28,Resistor,Panasonic,ERJ-2RKF1002X,0402,10 kOhm 1%,FITTED,-55..155,CELL_TX_U16,1=3V3_DIGITAL;2=CELL_TX_U16,Modem receive path idle-HIGH pull-up,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,U16 B5 side
R29,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,FITTED,-55..155,CELL_DTR_U16,1=CELL_DTR_U16;2=GND_MODEM,Modem DTR default-awake pull-down,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,U16 B6 side
R30,Resistor,Panasonic,ERJ-2RKF1002X,0402,10 kOhm 1%,FITTED,-55..155,U8_MAIN_TXD_1V8,1=U8_VDD_EXT_1V8;2=U8_MAIN_TXD_1V8,U8 UART transmit idle-HIGH pull-up,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,U16 A1 side
R31,Resistor,Panasonic,ERJ-2RKF1002X,0402,10 kOhm 1%,FITTED,-55..155,U8_MAIN_RI_1V8,1=U8_VDD_EXT_1V8;2=U8_MAIN_RI_1V8,U8 ring indicator inactive-HIGH pull-up,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,U16 A3 side
R32,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,FITTED,-55..155,CELL_RX_U16,1=3V3_DIGITAL;2=CELL_RX_U16,MCU receive inactive-HIGH pull-up,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,U16 B1 side
R33,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,FITTED,-55..155,CELL_RI_U16,1=3V3_DIGITAL;2=CELL_RI_U16,MCU RI inactive-HIGH pull-up,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,U16 B3 side
R34,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,FITTED,-55..155,CELL_STATUS_U16,1=CELL_STATUS_U16;2=GND_MODEM,Modem status inactive-LOW pull-down,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,U16 B2 side
R35,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,FITTED,-55..155,CELL_USB_BOOT_1V8,1=CELL_USB_BOOT_1V8;2=GND_MODEM,BG95 USB boot normal-state pull-down,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,Fixture drive is current limited through R38
R36,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,CELL_DBG_TXD_1V8,1=CELL_DBG_TXD_U8;2=CELL_DBG_TXD_TP,BG95 debug TX source-series damping,LOCKED_FITTED,PROJECT_MAIN_AUTH_010,Fixture is 1.8 V tolerant
R37,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,CELL_DBG_RXD_1V8,1=CELL_DBG_RXD_TP;2=CELL_DBG_RXD_U8,BG95 debug RX fixture-side damping,LOCKED_FITTED,PROJECT_MAIN_AUTH_010,Fixture output only after VREF valid
R38,Resistor,Panasonic,ERJ-2RKF1001X,0402,1 kOhm 1%,FITTED,-55..155,CELL_USB_BOOT_1V8,1=CELL_USB_BOOT_TP;2=CELL_USB_BOOT_1V8,BG95 USB boot fixture current limiter,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,Fixture normally high impedance
R39,Resistor,Panasonic,ERJ-2GE0R00X,0402,0 Ohm,FITTED,-55..155,CELL_USB_DP,1=CELL_USB_DP_U8;2=CELL_USB_DP_TP,BG95 USB D+ controlled series link,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,Preserve 90 Ohm differential pair
R40,Resistor,Panasonic,ERJ-2GE0R00X,0402,0 Ohm,FITTED,-55..155,CELL_USB_DM,1=CELL_USB_DM_U8;2=CELL_USB_DM_TP,BG95 USB D- controlled series link,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,Preserve 90 Ohm differential pair
R41,Resistor,Panasonic,ERJ-2RKF1001X,0402,1 kOhm 1%,FITTED,-55..155,CELL_DBG_VREF_1V8,1=U8_VDD_EXT_1V8;2=CELL_DBG_VREF_TP,BG95 debug reference sense isolation,LOCKED_FITTED,PROJECT_MAIN_AUTH_010,VTREF contact never sources station power
R42,Resistor,Panasonic,ERJ-2GE0R00X,0402,0 Ohm,FITTED,-55..155,3V8_MODEM_RF,1=3V8_MODEM;2=3V8_MODEM_RF,U8 VBAT_RF star branch link,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,Place immediately before U8 RF branch
R43,Resistor,Panasonic,ERJ-2GE0R00X,0402,0 Ohm,FITTED,-55..155,CELL_RF,1=CELL_RF;2=CELL_RF_ANT,Cellular RF pi network series baseline,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,Change only from signed VNA evidence
R44,Resistor,Panasonic,ERJ-2RKF4702X,0402,47 kOhm 1%,FITTED,-55..155,U13_EN_N,1=3V3_DIGITAL;2=U13_EN_N,U13 active-HIGH disable pull-up,LOCKED_FITTED,TI_TS3A27518E_SCDS260F,U13 remains High-Z while Q3 is off
R45,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,FITTED,-55..155,SIM_MUX_SEL,1=SIM_MUX_SEL;2=GND_MODEM,Dual-SIM selector default-SIM1 pull-down,LOCKED_FITTED,TI_TS3A27518E_SCDS260F,Drives both U13 IN pins
R46,Resistor,Panasonic,ERJ-2RKF1002X,0402,10 kOhm 1%,FITTED,-55..155,SIM_MUX_EN,1=SIM_MUX_EN;2=Q3_BASE,Q3 base current limiter,LOCKED_FITTED,TI_TS3A27518E_SCDS260F,Q3 pin 1 endpoint
R47,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,FITTED,-55..155,Q3_BASE,1=Q3_BASE;2=GND_MODEM,Q3 base-emitter off-state pull,LOCKED_FITTED,TI_TS3A27518E_SCDS260F,Preserves U13 High-Z at reset
R48,Resistor,Panasonic,ERJ-2RKF1002X,0402,10 kOhm 1%,FITTED,-55..155,SIM1_DET,1=3V3_DIGITAL;2=SIM1_DET,J6 card-detect pull-up,LOCKED_FITTED,TE_C-2336582_A2,No card reads LOW through grounded switch
R49,Resistor,Panasonic,ERJ-2RKF1002X,0402,10 kOhm 1%,FITTED,-55..155,SIM2_DET,1=3V3_DIGITAL;2=SIM2_DET,J7 card-detect pull-up,LOCKED_FITTED,TE_C-2336582_A2,No card reads LOW through grounded switch
R50,Resistor,Panasonic,ERJ-2GE0R00X,0402,0 Ohm,FITTED,-55..155,SIM1_RST_1V8,1=SIM1_RST_MUX;2=SIM1_RST_CONN,J6 reset series tuning link,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,U14 protection is connector-side
R51,Resistor,Panasonic,ERJ-2GE0R00X,0402,0 Ohm,FITTED,-55..155,SIM1_CLK_1V8,1=SIM1_CLK_MUX;2=SIM1_CLK_CONN,J6 clock series tuning link,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,U14 protection is connector-side
R52,Resistor,Panasonic,ERJ-2GE0R00X,0402,0 Ohm,FITTED,-55..155,SIM1_DATA_1V8,1=SIM1_DATA_MUX;2=SIM1_DATA_CONN,J6 data series tuning link,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,U14 protection is connector-side
R53,Resistor,Panasonic,ERJ-2GE0R00X,0402,0 Ohm,FITTED,-55..155,SIM2_RST_1V8,1=SIM2_RST_MUX;2=SIM2_RST_CONN,J7 reset series tuning link,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,U15 protection is connector-side
R54,Resistor,Panasonic,ERJ-2GE0R00X,0402,0 Ohm,FITTED,-55..155,SIM2_CLK_1V8,1=SIM2_CLK_MUX;2=SIM2_CLK_CONN,J7 clock series tuning link,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,U15 protection is connector-side
R55,Resistor,Panasonic,ERJ-2GE0R00X,0402,0 Ohm,FITTED,-55..155,SIM2_DATA_1V8,1=SIM2_DATA_MUX;2=SIM2_DATA_CONN,J7 data series tuning link,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,U15 protection is connector-side
R56,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,GNSS_RX,1=GNSS_RX_U9;2=GNSS_RX_U1,U9 TX source-series damping,LOCKED_FITTED,u-blox_UBX-20053088_R05,No pull resistor allowed
R57,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,GNSS_TX,1=GNSS_TX_U1;2=GNSS_TX_U9,U1 TX source-series damping,LOCKED_FITTED,u-blox_UBX-20053088_R05,No pull resistor allowed
R58,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,GNSS_PPS,1=GNSS_PPS_U9;2=GNSS_PPS_U1,U9 TIMEPULSE source-series damping,LOCKED_FITTED,u-blox_UBX-20053088_R05,Do not load LOW at startup
R59,Resistor,Panasonic,ERJ-2GEJ561X,0402,560 Ohm 5% 0.1 W,FITTED,-55..155,GNSS_ANT_DIV,1=GNSS_ANT_SWITCHED;2=GNSS_ANT_DIV,Figure 38 voltage-divider upper resistor R5,LOCKED_FITTED,u-blox_UBX-20053088_R05,Feeds U5 non-inverting input
R60,Resistor,Panasonic,ERJ-2GEJ104X,0402,100 kOhm 5% 0.1 W,FITTED,-55..155,GNSS_ANT_DIV,1=GNSS_ANT_DIV;2=GND,Figure 38 voltage-divider lower resistor R6,LOCKED_FITTED,u-blox_UBX-20053088_R05,Sets open-detect threshold with R59
R61,Resistor,Panasonic,ERJ-2GEJ104X,0402,100 kOhm 5% 0.1 W,FITTED,-55..155,GNSS_ANT_GATE,1=GNSS_ANT_BIAS_RAW;2=GNSS_ANT_GATE,Figure 38 P-channel gate pull-up R7,LOCKED_FITTED,u-blox_UBX-20053088_R05,Antenna supply defaults off
R62,Resistor,Panasonic,ERJ-8GEYJ100V,1206,10 Ohm 5% 0.25 W,FITTED,-55..155,GNSS_ANT_SHORT_N,1=GNSS_ANT_SWITCHED;2=GNSS_ANT_SHORT_N,Figure 38 current limiter and shunt R8,LOCKED_FITTED,u-blox_UBX-20053088_R05,PIO3 senses active-LOW short directly
R63,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,FITTED,-55..155,LORA_TXEN,1=LORA_TXEN;2=GND,U10 TXEN fail-closed pull-down,LOCKED_FITTED,Ebyte_E22-M_v1.2,TXEN and RXEN HIGH together is forbidden
R64,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,FITTED,-55..155,LORA_RXEN,1=LORA_RXEN;2=GND,U10 RXEN fail-closed pull-down,LOCKED_FITTED,Ebyte_E22-M_v1.2,TXEN and RXEN HIGH together is forbidden
R65,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,FITTED,-55..155,LORA_DIO1,1=LORA_DIO1;2=GND,U10 DIO1 inactive-state pull-down,LOCKED_FITTED,Ebyte_E22-M_v1.2,MCU input remains deterministic
R66,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,FITTED,-55..155,LORA_BUSY,1=LORA_BUSY;2=GND,U10 BUSY inactive-state pull-down,LOCKED_FITTED,Ebyte_E22-M_v1.2,MCU input remains deterministic
R67,Resistor,Panasonic,ERJ-2RKF1002X,0402,10 kOhm 1%,FITTED,-55..155,LORA_RESET_N,1=3V3_DIGITAL;2=LORA_RESET_N,U10 reset pull-up,LOCKED_FITTED,Ebyte_E22-M_v1.2,Works with C68
R68,Resistor,Panasonic,ERJ-2RKF1002X,0402,10 kOhm 1%,FITTED,-55..155,LORA_NSS_U10,1=3V3_DIGITAL;2=LORA_NSS_U10,U10 chip-select safe-state pull-up,LOCKED_FITTED,Ebyte_E22-M_v1.2,Radio remains deselected during MCU reset
R69,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,LORA_NSS,1=LORA_NSS_U1;2=LORA_NSS_U10,U1 NSS source-series damping,LOCKED_FITTED,Ebyte_E22-M_v1.2,Place adjacent to U1
R70,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,LORA_SCK,1=LORA_SCK_U1;2=LORA_SCK_U10,U1 SCK source-series damping,LOCKED_FITTED,Ebyte_E22-M_v1.2,Place adjacent to U1
R71,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,LORA_MOSI,1=LORA_MOSI_U1;2=LORA_MOSI_U10,U1 MOSI source-series damping,LOCKED_FITTED,Ebyte_E22-M_v1.2,Place adjacent to U1
R72,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,LORA_MISO,1=LORA_MISO_U10;2=LORA_MISO_U1,U10 MISO source-series damping,LOCKED_FITTED,Ebyte_E22-M_v1.2,Place adjacent to U10
R73,Resistor,Panasonic,ERJ-2GE0R00X,0402,0 Ohm,FITTED,-55..155,LORA_RF,1=LORA_RF_MODULE;2=LORA_RF_ANT,LoRa RF pi network series baseline,LOCKED_FITTED,Ebyte_E22-M_v1.2,Change only from signed VNA evidence
R74,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,BLE_RX,1=BLE_RX_U11;2=BLE_RX_U1,U11 UART TX source-series damping,LOCKED_FITTED,Raytac_MDBT50Q_Spec_Version_L,Place adjacent to U11
R75,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,BLE_TX,1=BLE_TX_U1;2=BLE_TX_U11,U1 UART TX source-series damping,LOCKED_FITTED,Raytac_MDBT50Q_Spec_Version_L,Place adjacent to U1
R76,Resistor,Panasonic,ERJ-2RKF1002X,0402,10 kOhm 1%,FITTED,-55..155,BLE_DFU_REQ,1=3V3_DIGITAL;2=BLE_DFU_REQ,U11 application DFU request pull-up,LOCKED_FITTED,Raytac_MDBT50Q_Spec_Version_L,U1 drives LOW only through open drain
R77,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,FITTED,-55..155,BLE_EN,1=BLE_EN;2=GND,U6 input fail-closed pull-down,LOCKED_FITTED,TI_SN74LVC1G07_datasheet,Holds nRF reset asserted during U1 reset
R78,Resistor,Panasonic,ERJ-2RKF1002X,0402,10 kOhm 1%,FITTED,-55..155,NRF_RESET_N,1=3V3_DIGITAL;2=NRF_RESET_N,U6 open-drain output pull-up,LOCKED_FITTED,TI_SN74LVC1G07_datasheet,U11 runs only when U6 releases output
R79,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,SD_CK,1=SD_CK_U1;2=SD_CK_CARD,U1 SDMMC clock source damping,LOCKED_FITTED,SD_Association_microSD,Place adjacent to U1
R80,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,SD_CMD,1=SD_CMD_U1;2=SD_CMD_CARD,SDMMC command series damping,LOCKED_FITTED,SD_Association_microSD,Review A validates timing margin
R81,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,SD_D0,1=SD_D0_U1;2=SD_D0_CARD,SDMMC data zero series damping,LOCKED_FITTED,SD_Association_microSD,Review A validates timing margin
R82,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,SD_D1,1=SD_D1_U1;2=SD_D1_CARD,SDMMC data one series damping,LOCKED_FITTED,SD_Association_microSD,Review A validates timing margin
R83,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,SD_D2,1=SD_D2_U1;2=SD_D2_CARD,SDMMC data two series damping,LOCKED_FITTED,SD_Association_microSD,Review A validates timing margin
R84,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,SD_D3,1=SD_D3_U1;2=SD_D3_CARD,SDMMC data three series damping,LOCKED_FITTED,SD_Association_microSD,Review A validates timing margin
R85,Resistor,Panasonic,ERJ-2RKF1002X,0402,10 kOhm 1%,FITTED,-55..155,SD_CMD_CARD,1=3V3_DIGITAL;2=SD_CMD_CARD,microSD command pull-up,LOCKED_FITTED,SD_Association_microSD,Connector-side of R80
R86,Resistor,Panasonic,ERJ-2RKF1002X,0402,10 kOhm 1%,FITTED,-55..155,SD_D0_CARD,1=3V3_DIGITAL;2=SD_D0_CARD,microSD data zero pull-up,LOCKED_FITTED,SD_Association_microSD,Connector-side of R81
R87,Resistor,Panasonic,ERJ-2RKF1002X,0402,10 kOhm 1%,FITTED,-55..155,SD_D1_CARD,1=3V3_DIGITAL;2=SD_D1_CARD,microSD data one pull-up,LOCKED_FITTED,SD_Association_microSD,Connector-side of R82
R88,Resistor,Panasonic,ERJ-2RKF1002X,0402,10 kOhm 1%,FITTED,-55..155,SD_D2_CARD,1=3V3_DIGITAL;2=SD_D2_CARD,microSD data two pull-up,LOCKED_FITTED,SD_Association_microSD,Connector-side of R83
R89,Resistor,Panasonic,ERJ-2RKF1002X,0402,10 kOhm 1%,FITTED,-55..155,SD_D3_CARD,1=3V3_DIGITAL;2=SD_D3_CARD,microSD data three pull-up,LOCKED_FITTED,SD_Association_microSD,Connector-side of R84
R90,Resistor,Panasonic,ERJ-2RKF1002X,0402,10 kOhm 1%,FITTED,-55..155,SD_DET,1=3V3_DIGITAL;2=SD_DET,J12 normally-open card-detect pull-up,LOCKED_FITTED,GCT_MEM2052_official_product_data,Card insertion closes detect to GND
R91,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,USB_DP,1=USB_DP_U1;2=USB_DP_CONN,U1 USB D+ source-series damping,LOCKED_FITTED,ST_STM32U585_DS13086_Rev10,Place adjacent to U1 PA12
R92,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,USB_DM,1=USB_DM_U1;2=USB_DM_CONN,U1 USB D- source-series damping,LOCKED_FITTED,ST_STM32U585_DS13086_Rev10,Place adjacent to U1 PA11
R93,Resistor,Panasonic,ERJ-2RKF5101X,0402,5.1 kOhm 1%,FITTED,-55..155,USB_CC1,1=USB_CC1;2=GND,USB-C device-mode CC1 Rd,LOCKED_FITTED,USB_Type-C_Release_2.5,CC1 and CC2 remain independent
R94,Resistor,Panasonic,ERJ-2RKF5101X,0402,5.1 kOhm 1%,FITTED,-55..155,USB_CC2,1=USB_CC2;2=GND,USB-C device-mode CC2 Rd,LOCKED_FITTED,USB_Type-C_Release_2.5,CC1 and CC2 remain independent
R95,Resistor,Panasonic,ERJ-2RKF1001X,0402,1 kOhm 1%,FITTED,-55..155,USB_VBUS_SENSE,1=USB_VBUS_CONN;2=USB_VBUS_SENSE,U1 PA9 protected high-impedance VBUS sense series limiter,LOCKED_FITTED,ST_STM32U585_DS13086_Rev10,No station power path through J11
R96,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,FITTED,-55..155,USB_VBUS_SENSE,1=USB_VBUS_SENSE;2=GND,U1 PA9 disconnected-state pull-down,LOCKED_FITTED,PROJECT_MAIN_AUTH_010,PA9 remains the dedicated OTG_FS_VBUS endpoint
R97,Resistor,Panasonic,ERJ-2RKF1004X,0402,1 MOhm 1%,FITTED,-55..155,USB_SHIELD,1=USB_SHIELD;2=GND,Controlled USB shield DC bleed,LOCKED_FITTED,PROJECT_EMC_BASELINE,Parallel with C77
R98,Resistor,Panasonic,ERJ-2GE0R00X,0402,0 Ohm,DNP,-55..155,USB_SHIELD,1=USB_SHIELD;2=GND,Optional hard shield bond,LOCKED_DNP,PROJECT_EMC_BASELINE,Populate only from signed EMC evidence
R99,Resistor,Panasonic,ERJ-2RKF1002X,0402,10 kOhm 1%,FITTED,-55..155,TAMPER_IN_CONN,1=3V3_DIGITAL;2=TAMPER_IN_CONN,Normally-closed tamper loop pull-up,LOCKED_FITTED,PROJECT_MAIN_AUTH_010,Open loop is alarm or cable fault
R100,Resistor,Panasonic,ERJ-2RKF1001X,0402,1 kOhm 1%,FITTED,-55..155,TAMPER_IN,1=TAMPER_IN_CONN;2=TAMPER_IN_U1,Tamper input series protection and filter resistor,LOCKED_FITTED,PROJECT_MAIN_AUTH_010,C78 is U1-side filter capacitor
R101,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,TEST_UART_TX,1=TEST_UART_TX_U1;2=TEST_UART_TX_TP,EOL UART DUT-TX source damping,LOCKED_FITTED,PROJECT_EOL_DFT,Fixture input is protected externally
R102,Resistor,Panasonic,ERJ-2RKF1001X,0402,1 kOhm 1%,FITTED,-55..155,TEST_UART_RX,1=TEST_UART_RX_TP;2=TEST_UART_RX_U1,EOL UART DUT-RX current limiter,LOCKED_FITTED,PROJECT_EOL_DFT,Fixture drives only at valid VTREF
R103,Resistor,Panasonic,ERJ-2GE0R00X,0402,0 Ohm,FITTED,-55..155,PWR_FAULT,1=FAULT;2=PWR_FAULT,Intentional connector-to-MCU fault net bridge,LOCKED_FITTED,PROJECT_MAIN_AUTH_010,Resolves frozen J_PWR FAULT name and U1 PWR_FAULT name
L1,Inductor,Murata,LQH32PN2R2NN0L,1210,2.2 uH 20%,FITTED,-40..125,SMPS_SW,1=SMPS_SW;2=VCORE_1V1,U1 internal SMPS output inductor,LOCKED_FITTED,ST_AN5373_Rev7,Isat above 0.5 A and DCR below 200 mOhm
L2,Inductor,Murata,LQW15AN27NJ00D,0402,27 nH 5%,FITTED,-40..125,GNSS_RF_ANT_BIASED,1=GNSS_ANT_SHORT_N;2=GNSS_RF_ANT_BIASED,Figure 38 RF bias-T injection L3,LOCKED_FITTED,u-blox_UBX-20053088_R05,Verify impedance above 500 Ohm at GNSS L1 and current above 300 mA
FB1,Ferrite_Bead,Murata,BLM31KN601SN1L,1206,600 Ohm at 100 MHz,FITTED,-55..125,3V8_MODEM_BB,1=3V8_MODEM;2=3V8_MODEM_BB,U8 VBAT_BB star branch ferrite,LOCKED_FITTED_PENDING_RF_REVIEW,Quectel_BG95_HW_Design_v1.6,Review A must verify low DCR current margin and at least 800 Ohm from 700 to 960 MHz
FL1,SAW_Filter,Abracon,ABSES5AF-L100KM,1109-5,1582.4 MHz wideband GNSS SAW,FITTED,-40..85,GNSS_RF_FILTERED,C=GNSS_RF_DC_BLOCK;A=GNSS_RF_FILTERED;B=GND;D=GND;E=GND,External cellular-immunity SAW before U9 RF_IN,LOCKED_FITTED,Abracon_ABSES5AF-L100KM_2025-09-16,Passband covers 1559.05 to 1605.66 MHz
U5,Operational_Amplifier,Analog Devices,LT6000IDCB#TRMPBF,DFN-6_DCB_2x3mm,Single rail-to-rail low-power op amp,FITTED,-40..85,GNSS_ANT_DETECT,1=GNSS_ANT_DIV;2=GNSS_ANT_SHORT_N;3=GNSS_ANT_BIAS_RAW;4=GNSS_ANT_BIAS_RAW;5=GND;6=GNSS_ANT_DETECT;EP=GND,Figure 38 active-antenna open-detect comparator,LOCKED_FITTED,ADI_LT6000_datasheet,SHDN pin 3 is held enabled at the local antenna bias supply
U6,Open_Drain_Buffer,Texas Instruments,SN74LVC1G07DBVR,SOT-23-5_DBV,Single non-inverting open-drain buffer,FITTED,-40..125,NRF_RESET_N,1=NC;2=BLE_EN;3=GND;4=NRF_RESET_N;5=3V3_DIGITAL,Fail-closed BLE reset buffer,LOCKED_FITTED,TI_SN74LVC1G07_datasheet,R77 and R78 define deterministic reset behavior
Q4,Dual_MOSFET,Vishay,Si1016X-T1-GE3,SOT-563_SC-89,Complementary N and P channel 20 V,FITTED,-55..150,GNSS_ANT_SWITCHED,1=GND;2=GNSS_ANT_OFF_N;3=GNSS_ANT_SWITCHED;4=GNSS_ANT_BIAS_RAW;5=GNSS_ANT_GATE;6=GNSS_ANT_GATE,Figure 38 T1 P-channel plus T2 N-channel antenna supply switch,LOCKED_FITTED,Vishay_Si1016X_RevE,Channel1 N source-gate-drain pins 1-2-6 and channel2 P drain-source-gate pins 3-4-5
U19,ESD_Array,Texas Instruments,TPD4E05U06DQAR,USON-10_DQA,4 channel 0.5 pF ESD,FITTED,-40..125,MIC1_SIGNALS,1=PDM_CLK_1V8_FANOUT;2=PDM_DATA1_1V8;3=GND;4=MIC_WAKE1;5=AAD_CFG_1V8_FANOUT;6=NC;7=NC;8=GND;9=NC;10=NC,J_MIC1 connector-side four-signal ESD shunt,LOCKED_FITTED,TI_TPDxE05U06_RevO,No series pass-through inside device
U20,ESD_Array,Texas Instruments,TPD4E05U06DQAR,USON-10_DQA,4 channel 0.5 pF ESD,FITTED,-40..125,MIC2_SIGNALS,1=PDM_CLK_1V8_FANOUT;2=PDM_DATA2_1V8;3=GND;4=MIC_WAKE2;5=AAD_CFG_1V8_FANOUT;6=NC;7=NC;8=GND;9=NC;10=NC,J_MIC2 connector-side four-signal ESD shunt,LOCKED_FITTED,TI_TPDxE05U06_RevO,No series pass-through inside device
